dataset,model,split,kernel size,input size,dropout,batch size,val spearman,val loss,test spearman,test loss,lightning log, preprocessed
aav,cnn,seven_vs_many,5,1024,0.0,256,0.9153057336807251,1.530300259590149,0.73438560962677,5.349017143249512,140,False
aav,cnn,two_vs_many,5,1024,0.0,256,0.8351423740386963,2.2713239192962646,0.43995586037635803,15.848453521728516,141,False
aav,cnn,seven_vs_many,5,43,0.0,256,0.8866377472877502,2.110867977142334,0.6718131899833679,3.582749605178833,143,True
aav,cnn,two_vs_many,5,43,0.0,256,0.826683759689331,2.257291316986084,0.5841834545135498,7.019651889801025,144,True
aav,cnn,seven_vs_many,5,43,0.0,64,0.9034110307693481,1.7770214080810547,0.6948732137680054,2.9861066341400146,145,True
aav,cnn,two_vs_many,5,43,0.0,64,0.8434256315231323,1.8256134986877441,0.6531849503517151,5.777756690979004,146,True
aav,cnn,two_vs_many,5,43,0.0,64,0.8097702264785767,2.9013969898223877,0.5770052671432495,5.4218268394470215,155,True
aav,cnn,two_vs_many,5,43,0.0,64,0.8418934941291809,1.9185281991958618,0.6222458481788635,6.362139701843262,156,True
aav,cnn,two_vs_many,5,43,0.0,64,0.7818846702575684,3.167905569076538,0.48160627484321594,7.3383917808532715,158,True
aav,cnn,two_vs_many,5,43,0.0,64,0.7655863165855408,3.494934558868408,0.40710240602493286,7.927988052368164,159,True
aav,cnn,two_vs_many,5,43,0.0,64,0.6026201844215393,7.393274784088135,-0.17457564175128937,9.595857620239258,162,True
aav,cnn,two_vs_many,5,43,0.0,64,0.6340261697769165,6.213520050048828,-0.01790579967200756,8.800346374511719,163,True
aav,cnn,two_vs_many,5,43,0.0,64,0.6938238739967346,4.699104309082031,0.20948758721351624,8.373537063598633,164,True
aav,cnn,two_vs_many,5,43,0.0,64,0.623692512512207,7.405161380767822,-0.1609078347682953,9.583142280578613,165,True
aav,cnn,two_vs_many,5,43,0.0,64,0.623692512512207,7.405161380767822,-0.1609078347682953,9.583142280578613,167,True
aav,cnn,two_vs_many,5,43,0.0,64,0.5865970849990845,8.466108322143555,-0.33147668838500977,10.576883316040039,168,True
aav,cnn,two_vs_many,5,43,0.0,64,0.5679290294647217,8.446812629699707,-0.34640738368034363,10.553621292114258,169,True
aav,cnn,two_vs_many,5,43,0.0,64,0.6698365211486816,6.123253345489502,0.004814101383090019,8.613731384277344,170,True
aav,cnn,two_vs_many,5,43,0.0,64,0.623692512512207,7.405161380767822,-0.1609078347682953,9.583142280578613,171,True
aav,cnn,two_vs_many,5,43,0.0,256,0.743767261505127,3.8183493614196777,0.3521516025066376,8.456924438476562,184,True
aav,cnn,two_vs_many,5,43,0.0,64,0.8434256315231323,1.8256134986877441,0.6531849503517151,5.777756690979004,186,True
aav,cnn,des_mut,5,43,0.0,256,0.8401875495910645,2.1334264278411865,0.7119187712669373,5.12431001663208,231,True,0
aav,cnn,des_mut,5,43,0.0,256,0.8424807786941528,2.0011672973632812,0.7324396967887878,4.7464518547058105,232,True,1
aav,cnn,des_mut,5,43,0.0,256,0.8426403999328613,2.0421695709228516,0.7360827922821045,4.723509788513184,233,True,2
aav,cnn,des_mut,5,43,0.0,256,0.8448537588119507,1.9617923498153687,0.7272348403930664,4.854671955108643,234,True,3
aav,cnn,des_mut,5,43,0.0,256,0.845510721206665,1.9476674795150757,0.7402430772781372,4.61911153793335,235,True,4
aav,cnn,des_mut,5,43,0.0,256,0.8440880179405212,1.9867199659347534,0.7367504835128784,4.69016170501709,236,True,5
aav,cnn,des_mut,5,43,0.0,256,0.8422808051109314,2.0296170711517334,0.7314633131027222,4.7650628089904785,237,True,6
aav,cnn,des_mut,5,43,0.0,256,0.8412386178970337,2.080008029937744,0.7230835556983948,4.8776326179504395,238,True,7
aav,cnn,des_mut,5,43,0.0,256,0.8448694348335266,1.9629446268081665,0.7305786609649658,4.750242710113525,239,True,8
aav,cnn,des_mut,5,43,0.0,256,0.8425714373588562,2.0272111892700195,0.7175781726837158,4.895600318908691,240,True,9
aav,cnn,low_vs_high,5,43,0.0,256,0.7474214434623718,1.206335425376892,0.3242800533771515,15.916083335876465,241,True,0
aav,cnn,low_vs_high,5,43,0.0,256,0.751875638961792,1.195036768913269,0.3127233386039734,16.262269973754883,242,True,1
aav,cnn,low_vs_high,5,43,0.0,256,0.7501460909843445,1.199989914894104,0.2956603467464447,16.82282829284668,243,True,2
aav,cnn,low_vs_high,5,43,0.0,256,0.7544313073158264,1.171014428138733,0.3224727213382721,15.883186340332031,244,True,3
aav,cnn,low_vs_high,5,43,0.0,256,0.7518107891082764,1.1847529411315918,0.2887500524520874,16.012683868408203,245,True,4
aav,cnn,low_vs_high,5,43,0.0,256,0.7543883919715881,1.1903300285339355,0.3176695704460144,16.658538818359375,246,True,5
aav,cnn,low_vs_high,5,43,0.0,256,0.7535733580589294,1.1779088973999023,0.32605400681495667,16.1696720123291,247,True,6
aav,cnn,low_vs_high,5,43,0.0,256,0.7527417540550232,1.189008116722107,0.27655264735221863,16.07859992980957,248,True,7
aav,cnn,low_vs_high,5,43,0.0,256,0.753083348274231,1.1780325174331665,0.305136114358902,16.07542610168457,249,True,8
aav,cnn,low_vs_high,5,43,0.0,256,0.759529709815979,1.1476991176605225,0.32942089438438416,15.725520133972168,250,True,9
aav,cnn,mut_des,5,43,0.0,256,0.8925391435623169,2.0221798419952393,0.7335612177848816,5.23225736618042,251,True,0
aav,cnn,mut_des,5,43,0.0,256,0.8945713639259338,1.9701694250106812,0.737018346786499,5.119795322418213,252,True,1
aav,cnn,mut_des,5,43,0.0,256,0.8930445909500122,2.0025155544281006,0.7507492899894714,5.021677494049072,253,True,2
aav,cnn,mut_des,5,43,0.0,256,0.8998783826828003,1.854119062423706,0.7484002113342285,4.972473621368408,254,True,3
